,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
b'203',b'450711523',b'200.0',b'Patterned Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/fb/64/fb646d9bf134855f9fbbb4d5cb440b8c_best.jpg',"b'<ul> <li>dark blue and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'204',b'429772618',b'200.0',b'Patterned Silk Twill Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1f/0b/1f0b6da90c28e4e75b3eaca919dfb0c3_best.jpg',"b'<ul> <li>bordeaux and red</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'214',b'450710704',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/74/7c/747c8e2a1bb01244e9ff6472f7610b82_best.jpg',"b'<ul> <li>brown and orange</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'240',b'457219179',b'147.0',b'Gucci Diamond-weave bow tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/93/8a/938abaefce3c75399d13139e98b74e56_best.jpg',"b'<ul><li>Navy and black, jacquard diamond-weave</li><li>Adjustable hook fastening</li><li>59% cotton, 28% silk, 13% polyester</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_cotton',b'False'
b'310',b'453573147',b'174.0',b'Gucci Circle-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/fa/8f/fa8fa9b202a07a64cb3a8f7a9cc303ab_best.jpg',"b'<ul><li>Matte navy, high-shine navy and white circle-jacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'312',b'450711369',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/45/da/45da0ef812b19b570981ddf31f18fb4f_best.jpg',"b'<ul> <li>royal blue and light grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'313',b'450710648',b'170.0',b'Striped Silk Twill Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7e/e1/7ee134d9078cea2924604909375d3032_best.jpg',b'<ul> <li>red and light blue</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'314',b'443736102',b'190.0',b'Striped Silk Gauze Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7e/d5/7ed5912d313f1eee2bcce333a34f1acd_best.jpg',b'<ul> <li>blue and beige striped silk gauze</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'_striped',b'_silk',b'False'
b'315',b'450711530',b'200.0',b'Patterned Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/5c/f2/5cf21588d59618fae31dda7bdbbf6673_best.jpg',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'316',b'379412810',b'200.0',b'pink silk jacquard GG pattern tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/bf/a9/bfa9d4d15225d430ee217769c5f8c8c3_best.jpg',"b'<ul> <li>pink</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'352',b'462580451',b'170.0',b'Patterned Habutai Silk Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/be/c1/bec1054d133aa53713c961633df5bef8_best.jpg',b'<ul> <li>off-white and yellow</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'353',b'462580861',b'200.0',b'Patterned Cotton Knit Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b1/5c/b15c3e3a198328a7cb38ed14db322dfa_best.jpg',b'<ul> <li>bordeaux and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_cotton',b'False'
b'354',b'462580930',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/05/e7/05e722a0e69cf654b6d3f005269fed1a_best.jpg',"b'<ul> <li>red and light blue</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'416',b'452152693',b'170.0',b'Gucci Silk-Satin Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/46/4c/464cf2f973e69822024d67a80d168851_best.jpg',"b""When the strictest dress codes are expected, a classic black bow tie is an infallible choice. The choice of Academy Award winners from Messrs. Clark Gable to Christian Bale, Gucci 's silk-satin version is the debonair way to complete your look. <ul> <li>Black silk-satin bow tie</li> <li>100% silk</li> <li>Dry clean</li> <li>Made in Italy</li> </ul>""",b'MR PORTER',b'unknown',b'_silk',b'False'
b'432',b'462483742',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/92/6b/926b5078469fbc5e7d3763f1d9cee838_best.jpg',"b""Men's royal blue, steel blue and multicolor Gucci silk necktie with vertical stripes and Gs throughout.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'439',b'462481174',b'95.0',b'Gucci Tie w/ Tags',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/2e/8a/2e8a39b05d258312db0f9065a791a4f1_best.jpg',"b""Men's brown, burgundy and pink Gucci silk stripe necktie.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'442',b'462481657',b'100.0',b'Gucci Diamante Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/52/12/5212cbcce58878a753ede29a9a51512b_best.jpg',"b""Men's steel blue and ivory Gucci silk necktie with Diamante print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'452',b'464138532',b'45.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/9e/66/9e6634276251ea8422e2f7ea293aeb35_best.jpg',"b""Men's brown Gucci silk necktie with jacquard wavy stripes throughout.""",b'TheRealReal',b'_striped',b'_silk',b'False'
b'455',b'464975642',b'50.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/f4/04/f40498a953e0ff1d0ccd6c83d389e88c_best.jpg',"b""Men's blue, gold and red Gucci silk printed tie.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'458',b'461790088',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1c/66/1c6690a74b690be4324ce3ed82a9b7b8_best.jpg',"b""Men's navy and steel blue Gucci silk necktie with geometric G print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'493',b'462310077',b'80.37',b'Gucci Vintage striped tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c2/2c/c22c03731d44402d85c67a7f8de775c8_best.jpg',b'Blue silk-cotton blend striped tie from Gucci Vintage circa 1990. Please note that vintage items are not new and therefore might have minor imperfections.',b'farfetch.com',b'_striped',b'_cotton',b'False'
b'503',b'458360155',b'150.02',b'Gucci printed tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7a/55/7a55c4f36adb1799d0e57c701b6d9652_best.jpg',"b'Blue and silver silk printed tie from Gucci featuring branded rear patch, a printed logo to the rear and a graphic print.'",b'farfetch.com',b'_print',b'_silk',b'False'
b'587',b'450711172',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/8e/0e/8e0e0d70a3052ade3908699efa24df97_best.jpg',"b'<ul> <li>graphite and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'588',b'450711493',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/a0/b5/a0b5d45c91c84202e663c850bd3a15a7_best.jpg',"b'<ul> <li>dark blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'589',b'429772973',b'200.0',b'Knitted Tie With Web Detail',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/3d/4f/3d4fd6db8ecea64b50fc1ed6977a593b_best.jpg',"b'<ul> <li>black and dark green</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'590',b'438325712',b'190.0',b'Horsebit Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7c/63/7c630acce7dc49998db573c1b00dd733_best.jpg',"b'<ul> <li>grey blue</li> <li>Made in Italy</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'591',b'355491697',b'200.0',b'GG pattern tie with web detail.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d1/67/d16784c0920ba3bd699256e3ac4d26a0_best.jpg',"b'<ul> <li>sky blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'592',b'365408960',b'200.0',b'Solid Tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b3/cb/b3cb912c97b491dc076401306b16aae8_best.jpg',"b'<ul> <li>silver</li> <li>handmade</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'593',b'438325753',b'190.0',b'Multi-Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/cb/81/cb819baafc653ef52bd66f454988cf41_best.jpg',"b'<ul> <li>dark purple and pink</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> <li>100% silk</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'594',b'429772505',b'200.0',b'Patterned Silk Twill Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b5/22/b522fa904728d493b177f0ba47c0ae10_best.jpg',"b'<ul> <li>navy and blue</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'595',b'450711330',b'200.0',b'interlocking G pattern silk wool tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/98/4e/984edf9feab1cfe7f82a75a2a92615a2_best.jpg',"b'<ul> <li>light grey and grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_wool',b'False'
b'597',b'355490026',b'170.0',b'Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c1/8d/c18ddcae6c69671e92c4b28d4a4c7e15_best.jpg',b'<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'598',b'424378945',b'200.0',b'light blue silk jacquard GG pattern tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/2e/7d/2e7d22a75fd256184f0716f347bbba46_best.jpg',"b'<ul> <li>light blue</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'599',b'424378958',b'200.0',b'GG pattern tie with web detail.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d3/ed/d3ed67986da6b1290e67fd28b71ac0cb_best.jpg',"b'<ul> <li>beige and brown GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'610',b'450711555',b'200.0',b'GG horsebit pattern silk twill tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/00/7e/007e2a59583e068a262e06af256a426c_best.jpg',"b'<ul> <li>blue and light blue</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'679',b'450711368',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/9f/77/9f77d103e74f9e839df5f102221733f1_best.jpg',"b'<ul> <li>dark grey and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'680',b'462580433',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b6/f0/b6f02d93b71476583c7ea9ca355b7cbd_best.jpg',"b'<ul> <li>red and grey</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'681',b'462580442',b'170.0',b'Patterned Habutai Silk Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/14/29/1429b0bc5482252ca69a4047aeb24444_best.jpg',b'<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'682',b'462580517',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/a3/52/a352605ef66bc9ae4cb27273875ff1c6_best.jpg',"b'<ul> <li>dark brown and pink</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'683',b'462580781',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/6f/79/6f796538269129fe2717a77e332397f6_best.jpg',"b'<ul> <li>bordeaux and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'684',b'462581400',b'200.0',b'Patterned Silk Twill Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ae/77/ae77c2ba2e4fc8cd51c948b824ece751_best.jpg',"b'<ul> <li>sapphire and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'690',b'462580403',b'200.0',b'Spur Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/67/0e/670e84e45d7b07f611a21a11ef66f073_best.jpg',"b'<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'699',b'450710656',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/bf/fa/bffa7a708378639758952349add7c744_best.jpg',"b'<ul> <li>blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'704',b'450711374',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b7/59/b759ddc9f27ff063303a66736bc4fd62_best.jpg',"b'<ul> <li>black and dark brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'705',b'450711400',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/0e/ef/0eef4ce90828d5af109c075ab0f555a9_best.jpg',"b'<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'711',b'355490912',b'200.0',b'GG pattern silk jacquard tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/49/65/496519d68d57efc028d5a5926084c8cf_best.jpg',"b'<ul> <li>website exclusive</li> <li>pink and beige</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'889',b'461789824',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/b5/c4/b5c497414802b98aa3fc0fb4936e12ae_best.jpg',"b""Men's crimson, navy and sky blue Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'899',b'462481911',b'75.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/78/7a/787a51c045736393716ff8a1afab8d55_best.jpg',"b""Men's grey and navy Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'905',b'461792980',b'95.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7e/d3/7ed3e5da320586c9f4e729858a30a87e_best.jpg',"b""Men's burgundy, red and orange Gucci silk necktie with geometric print throughout.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'914',b'464975641',b'50.0',b'Gucci Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/c9/f7/c9f760ca7747c147693c2bbf972ee4f9_best.jpg',"b""Men's beige, green and brick Gucci silk printed tie.""",b'TheRealReal',b'_print',b'_silk',b'False'
b'1091',b'450758048',b'145.85',b'Gucci dogtooth tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ab/d7/abd7b97abce0d538e4f7a6bd80aebd08_best.jpg',b'Black and white silk dogtooth tie from Gucci featuring a pointed tip.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'1092',b'457959024',b'151.26',b'Gucci classic tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/15/42/1542ec2d67e49c621980a5a0e7739f72_best.jpg',b'Grey silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'1136',b'452966849',b'265.0',b'Gucci classic tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/5f/2e/5f2e32193e4a047ae48ffbd424530246_best.jpg',b'Navy silk classic tie from Gucci featuring a pointed tip.',b'farfetch.com',b'unknown',b'_silk',b'False'
b'1465',b'453573192',b'174.0',b'Gucci Small-GG jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/dd/d2/ddd2af7cf3ef82e69f3d4d09d28f68b0_best.jpg',"b'<ul><li>Black, dark-grey and light-grey GG-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1466',b'453573194',b'174.0',b'Gucci Horsebit-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/7d/79/7d7947ccbf9d2f8612834cb3ac732ab9_best.jpg',"b'<ul><li>Navy, burgundy and silver-grey horsebit-jacquard, silk</li><li>Navy GG jacquard lining </li><li>100% silk</li><li>Dry clean</li><li>Country of origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1467',b'453573230',b'174.0',b'Gucci Horsebit-jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1f/75/1f7598c96977a64ee0d76563ffcddc6f_best.jpg',"b'<ul><li>Forest-green, dark-brown and champagne-beige horsebit jacquard, silk</li><li>Dark-brown GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1469',b'453573329',b'174.0',b'Gucci Retro silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/d8/5e/d85ecfb5bbe6d43301bb01fb2170b59a_best.jpg',"b'<ul><li>Khaki-brown and black geometric jacquard, silk</li><li>Silver-grey jacquard pin-dots</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1822',b'453573317',b'174.0',b'Gucci Micro-weave jacquard silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/3d/c7/3dc765cb3ae9fa5578049db215c14232_best.jpg',"b'<ul><li>Navy and dark-greyjacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1823',b'453861901',b'174.0',b'Gucci Retro silk tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/81/7f/817fbe2d912fb4edc96ebd381bf62c93_best.jpg',"b'<ul><li>Silver-grey and navy geometric-jacquard, silk</li><li>Red jacquard pin-dots</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_silk',b'False'
b'1836',b'457219051',b'147.0',b'Gucci Wool and silk-blend bow tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/f7/b8/f7b8e2305fc74eb68bfe7ccb48b06cbf_best.jpg',"b'<ul><li>Black, wool and silk-blend</li><li>Adjustable hook fastening</li><li>68% wool, 32% silk</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>'",b'MATCHESFASHION.COM',b'unknown',b'_wool',b'False'
b'1839',b'450711320',b'200.0',b'Striped Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/1c/7b/1c7bcd93fdaf89ece368e5a2f3dbb7d6_best.jpg',"b'<ul> <li>red and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1840',b'450711325',b'200.0',b'Patterned Woven Silk Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ce/fb/cefb07f40420f7e8b5f62e2a41d6b355_best.jpg',"b'<ul> <li>olive green</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1841',b'450711337',b'170.0',b'Striped Silk Twill Bow Tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/ac/e2/ace2abaae8af63998348cb9e673d1d6e_best.jpg',b'<ul> <li>dark blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>',b'Gucci',b'unknown',b'_silk',b'False'
b'1842',b'429772996',b'200.0',b'GG patterned silk twill tie',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/34/a6/34a61d153c131f8767e5424a23b821eb_best.jpg',"b'<ul> <li>navy and beige</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
b'1843',b'355488578',b'200.0',b'Solid Tie.',b'1242',b'Gucci',b'http://bim.shopstyle.com/pim/aa/93/aa93f24233a69dc9824161aa19c0db3e_best.jpg',"b'<ul> <li>website exclusive</li> <li>white</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>'",b'Gucci',b'unknown',b'_silk',b'False'
